p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
MT-CYB	3.30198094589514e-08	0.380442920555778	0.56	0.69	0.000535845467899863	1	MT-CYB
MT-CO1	0.00119891521079695	0.341336945548743	0.551	0.69	1	1	MT-CO1
TMEM163	0	1.50465088091878	0.719	0.348	0	2	TMEM163
ERC2	0	1.04272082404434	0.587	0.253	0	2	ERC2
HAMP	0	0.924198589290678	0.396	0.135	0	2	HAMP
LIMK2	0	0.917088577569022	0.54	0.229	0	2	LIMK2
FAM129A	0	0.891846685334337	0.602	0.305	0	2	FAM129A
PTPN2	0	0.848856509652329	0.793	0.472	0	2	PTPN2
BCL6	0	0.820356578462912	0.502	0.209	0	2	BCL6
CPEB4	0	0.754610624402676	0.691	0.423	0	2	CPEB4
TBC1D8	0	0.728750480811898	0.563	0.277	0	2	TBC1D8
SPATA6	0	0.726347915387181	0.727	0.432	0	2	SPATA6
FCGBP	0	0.715974468868455	0.452	0.297	0	2	FCGBP
TBC1D14	0	0.690217013502146	0.855	0.571	0	2	TBC1D14
ADGRE2	0	0.67062184410755	0.509	0.233	0	2	ADGRE2
SH3RF3	0	0.665360572480611	0.967	0.827	0	2	SH3RF3
TGFBR1	0	0.659626114613064	0.866	0.647	0	2	TGFBR1
PIM1	0	0.642124570062691	0.321	0.108	0	2	PIM1
BACH1	0	0.639608403285705	0.9	0.68	0	2	BACH1
IL4R	0	0.629124232227916	0.67	0.401	0	2	IL4R
PRKCA	0	0.621140332484115	0.887	0.674	0	2	PRKCA
JAK3	0	0.61952903184595	0.615	0.324	0	2	JAK3
HRH2	0	0.588955921523842	0.451	0.227	0	2	HRH2
NCK2	0	0.587127514535858	0.895	0.684	0	2	NCK2
GRAMD1A	0	0.580075265759656	0.509	0.31	0	2	GRAMD1A
IKZF2	0	0.576343063694142	0.403	0.199	0	2	IKZF2
DENND3	0	0.565507087702809	0.942	0.757	0	2	DENND3
CD14	0	0.555883721998125	0.501	0.284	0	2	CD14
KLHL2	0	0.546275290766899	0.557	0.313	0	2	KLHL2
LAP3	0	0.539397550026343	0.476	0.242	0	2	LAP3
IL1RAP	0	0.539185427635505	0.553	0.339	0	2	IL1RAP
HSPA5	0	0.537133249181362	0.311	0.138	0	2	HSPA5
SPP1	0	0.530856544848572	0.858	0.679	0	2	SPP1
RNF149	0	0.529168794533853	0.825	0.598	0	2	RNF149
PTPN1	0	0.525965036041787	0.422	0.223	0	2	PTPN1
SLC2A5	0	0.518674035506579	0.795	0.577	0	2	SLC2A5
VSIG4	0	0.518597805385983	0.62	0.388	0	2	VSIG4
MARCH1	0	0.511473508770329	0.914	0.731	0	2	MARCH1
SLC11A1	0	0.509139527758055	0.804	0.547	0	2	SLC11A1
PTPRE	0	0.508858543799637	0.946	0.795	0	2	PTPRE
GOLGA4	0	0.507342928846263	0.798	0.602	0	2	GOLGA4
ACER3	0	0.502653142388749	0.665	0.44	0	2	ACER3
XBP1	0	0.496266287149116	0.258	0.1	0	2	XBP1
BIN1	0	0.495156330610438	0.721	0.515	0	2	BIN1
FCGR1A	0	0.492600718485447	0.476	0.252	0	2	FCGR1A
SCFD2	0	0.491664995608331	0.644	0.405	0	2	SCFD2
RUNX1	0	0.487649041309929	0.977	0.866	0	2	RUNX1
ANK2	0	0.486201348463998	0.49	0.31	0	2	ANK2
PPA1	0	0.481056894483479	0.271	0.108	0	2	PPA1
HSP90B1	0	0.475854512171676	0.407	0.211	0	2	HSP90B1
PYGL	0	0.475412657574805	0.487	0.28	0	2	PYGL
FCGR3A	0	0.474485185646647	0.53	0.305	0	2	FCGR3A
MAP3K8	0	0.47388140051635	0.526	0.317	0	2	MAP3K8
SH3PXD2B	0	0.458196465480994	0.313	0.15	0	2	SH3PXD2B
SETBP1	0	0.45429771312949	0.534	0.344	0	2	SETBP1
PSTPIP2	0	0.453246723034247	0.356	0.185	0	2	PSTPIP2
TNFRSF10D	0	0.444243288457425	0.361	0.192	0	2	TNFRSF10D
HIVEP3	0	0.443834255520989	0.818	0.604	0	2	HIVEP3
ITGA9	0	0.443406943597403	0.556	0.366	0	2	ITGA9
PXN	0	0.443118688066594	0.342	0.167	0	2	PXN
NAIP	0	0.430145514816613	0.819	0.598	0	2	NAIP
DDX21	0	0.42802586981947	0.361	0.179	0	2	DDX21
IPCEF1	0	0.425537435081682	0.859	0.675	0	2	IPCEF1
IL17RA	0	0.425340559128565	0.793	0.575	0	2	IL17RA
SERPINB9	0	0.423722047966815	0.667	0.465	0	2	SERPINB9
PIK3AP1	0	0.423053938995601	0.773	0.572	0	2	PIK3AP1
WDFY3	0	0.422458091645189	0.889	0.72	0	2	WDFY3
TYMP	0	0.416266818122735	0.452	0.25	0	2	TYMP
CEBPB	0	0.413311229008922	0.466	0.28	0	2	CEBPB
HCK	0	0.411537054385344	0.734	0.514	0	2	HCK
GRB2	0	0.410034040483702	0.864	0.667	0	2	GRB2
RBMS1	0	0.409308526521789	0.598	0.394	0	2	RBMS1
CHSY1	0	0.406223792695967	0.638	0.414	0	2	CHSY1
CUL1	0	0.404743517956172	0.623	0.42	0	2	CUL1
PPARD	0	0.393754169616408	0.712	0.502	0	2	PPARD
PTK2	0	0.393453072587565	0.705	0.504	0	2	PTK2
SIGLEC9	0	0.3932737489772	0.331	0.162	0	2	SIGLEC9
ANKS1A	0	0.39290106248854	0.899	0.744	0	2	ANKS1A
ARHGAP26	0	0.386993299220841	0.993	0.935	0	2	ARHGAP26
DNAJC3	0	0.382612412569991	0.47	0.291	0	2	DNAJC3
WNT5A	0	0.382211895358684	0.392	0.218	0	2	WNT5A
IARS	0	0.382190309837806	0.333	0.177	0	2	IARS
CHST11	0	0.379112009032921	0.995	0.952	0	2	CHST11
PHC2	0	0.378074020633833	0.789	0.584	0	2	PHC2
SIPA1L2	0	0.368943124895896	0.685	0.505	0	2	SIPA1L2
NEK6	0	0.363012576884215	0.489	0.302	0	2	NEK6
PROS1	0	0.362906498139347	0.25	0.127	0	2	PROS1
DCAF6	0	0.362271041731764	0.681	0.491	0	2	DCAF6
ETV6	0	0.360445018020973	0.968	0.863	0	2	ETV6
LMO2	0	0.359205096847375	0.432	0.251	0	2	LMO2
STAB1	0	0.359112391301799	0.523	0.312	0	2	STAB1
ADGRG1	0	0.358460325843684	0.736	0.507	0	2	ADGRG1
PDE4B	0	0.356466861874335	0.632	0.469	0	2	PDE4B
RGL1	0	0.355859633685905	0.419	0.28	0	2	RGL1
GAREM1	0	0.355532543573762	0.631	0.442	0	2	GAREM1
CD163L1	0	0.353727119935192	0.287	0.169	0	2	CD163L1
TLR2	0	0.352916776729881	0.82	0.636	0	2	TLR2
SBNO2	0	0.351983316711157	0.281	0.137	0	2	SBNO2
PLSCR1	0	0.350618300660104	0.556	0.357	0	2	PLSCR1
PRKD3	0	0.34969597137093	0.572	0.379	0	2	PRKD3
